variable,question,module,health_care_experience,coding
a3_03,Had [name] periods stopped naturally because of menopause?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_04,Did [name] have vaginal bleeding after cessation of menstruation? (post menopausal),Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_05,Did [name] have vaginal bleeding other than her period? (intermenstrual),Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_06,Was there excessive vaginal bleeding in the week prior to death?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_07,At the time of death was her period overdue?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_08a,For how many weeks was her period overdue? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_08b,For how many weeks was her period overdue?,Adult,0,
a3_09,Did [name] have a sharp pain in the belly shortly before death?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_10,Was [name] pregnant at the time of death?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_11a,For how many months was she pregnant? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_11b,For how many months was she pregnant?,Adult,0,
a3_12,Did [name] die during an abortion?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_13,Did bleeding occur while she was pregnant?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_14,Did she have excessive bleeding during labor or delivery?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_15,Did she die during labor or delivery?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_16a,For how long was she in labor? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_16b,For how long was she in labor?,Adult,0,
a3_17,Did she die within 6 weeks after having an abortion?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_18,Did she die within 6 weeks of childbirth?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_19,Did she have excessive bleeding after delivery or abortion?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a3_20,Did [name] have bad smelling vaginal discharge within 6 weeks after delivery or abortion?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a4_01,Did [name] use tobacco?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a4_02_1,Type of tobacco used: cigarettes,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a4_02_2,Type of tobacco used: pipe,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a4_02_3,Type of tobacco used: chewing,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a4_02_4,Type of tobacco used: local tobacco,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a4_02_5a,Type of tobacco used: other,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a4_02_5b,"Type of tobacco used: other, specify",Adult,0,
a4_02_6,Type of tobacco used: refused,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a4_02_7,Type of tobacco used: don't know,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a4_03,How much pipe/chewing tobacco did [name] use daily?,Adult,0,
a4_04,How many cigarettes did [name] smoke daily?,Adult,0,
a4_05,Did [name] drink alcohol?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a4_06,Would you say the amount of alcohol [name] drank daily was…?,Adult,0,"1 ""Low"" 2 ""Moderate"" 3 ""High"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_01_1,Decedent suffered road traffic injury,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_01_2,Decedent suffered fall,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_01_3,Decedent suffered drowning,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_01_4,Decedent suffered poisoning,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_01_5,Decedent suffered bite/sting,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_01_6,Decedent suffered burn,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_01_7,Decedent victim of violence,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_01_8,Decedent did not suffer any injuries,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_01_9a,Decedent suffered other injury,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_02,Was the injury or accident self-inflicted?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_03,Was the injury or accident intentionally inflicted by someone else?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_04a,How long did [name] survive after the injury? [specify units],Adult,0,"1 ""Years"" 2 ""Months"" 3 ""Weeks"" 4 ""Days"" 5 ""Hours"" 6 ""Minutes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a5_04b,How long did [name] survive after the injury?,Adult,0,
a6_01,Was care sought outside the home while [name] had this illness?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_1,Care sought - traditional healer,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_2,Care sought - homeopath,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_3,Care sought - religious leader,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_4,Care sought - government hospital,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_5,Care sought - government health center or clinic,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_6,Care sought - private hospital,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_7,Care sought - private center or clinic,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_8,Care sought - community based practitioner,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_9,Care sought - trained birth attendant,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_10,Care sought - private physician,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_11,Care sought - pharmacy,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_12a,Care sought - other provider,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_13,"Care sought - relative, friend",Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_14,Care sought - refused,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_02_15,Care sought - don't know,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_04,Do you have any health records that belonged to the deceased?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_05,Can I see the health records?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_06_1d,Record the dates of the two most recent visits [day],Adult,0,"99 ""Don't Know"""
a6_06_1m,Record the dates of the two most recent visits [month],Adult,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
a6_06_1y,Record the dates of the two most recent visits [year],Adult,0,"9999 ""Don't Know"""
a6_06_2d,Record the dates of the two most recent visits [day],Adult,0,"99 ""Don't Know"""
a6_06_2m,Record the dates of the two most recent visits [month],Adult,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
a6_06_2y,Record the dates of the two most recent visits [year],Adult,0,"9999 ""Don't Know"""
a6_07d,Record the date of the last note [day],Adult,0,"99 ""Don't Know"""
a6_07m,Record the date of the last note [month],Adult,0,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
a6_07y,Record the date of the last note [year],Adult,0,"9999 ""Don't Know"""
a6_09,Was a death certificate issued?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_10,Can I see the death certificate?,Adult,0,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a6_11,Record the immediate cause of death from the certificate.,Adult,0,
a6_12,Record the first underlying cause of death from the certificate.,Adult,0,
a6_13,Record the second underlying cause of death from the certificate.,Adult,0,
a6_14,Record the third underlying cause of death from the certificate.,Adult,0,
a6_15,Record the contributing cause(s) of death from the certificate.,Adult,0,
word_normal,"The open narratives contained the word or stem ""normal""",Adult,1,
word_paper,"The open narratives contained the word or stem ""paper""",Adult,1,
word_cervix,"The open narratives contained the word or stem ""cervix""",Adult,1,
word_question,"The open narratives contained the word or stem ""question""",Adult,1,
word_money,"The open narratives contained the word or stem ""money""",Adult,1,
word_pay,"The open narratives contained the word or stem ""pay""",Adult,1,
word_elev,"The open narratives contained the word or stem ""elev""",Adult,1,
word_tongu,"The open narratives contained the word or stem ""tongu""",Adult,1,
word_woman,"The open narratives contained the word or stem ""woman""",Adult,1,
word_oct,"The open narratives contained the word or stem ""oct""",Adult,1,
word_stomachach,"The open narratives contained the word or stem ""stomachach""",Adult,1,
word_fractur,"The open narratives contained the word or stem ""fractur""",Adult,1,
word_kgmc,"The open narratives contained the word or stem ""kgmc""",Adult,1,
word_reveal,"The open narratives contained the word or stem ""reveal""",Adult,1,
word_kept,"The open narratives contained the word or stem ""kept""",Adult,1,
word_poison,"The open narratives contained the word or stem ""poison""",Adult,1,
word_nov,"The open narratives contained the word or stem ""nov""",Adult,1,
word_late,"The open narratives contained the word or stem ""late""",Adult,1,
word_advic,"The open narratives contained the word or stem ""advic""",Adult,1,
word_ladi,"The open narratives contained the word or stem ""ladi""",Adult,1,
word_road,"The open narratives contained the word or stem ""road""",Adult,1,
word_bring,"The open narratives contained the word or stem ""bring""",Adult,1,
word_wall,"The open narratives contained the word or stem ""wall""",Adult,1,
word_healer,"The open narratives contained the word or stem ""healer""",Adult,1,
word_pass,"The open narratives contained the word or stem ""pass""",Adult,1,
word_uneasi,"The open narratives contained the word or stem ""uneasi""",Adult,1,
word_erragadda,"The open narratives contained the word or stem ""erragadda""",Adult,1,
word_mother,"The open narratives contained the word or stem ""mother""",Adult,1,
word_clot,"The open narratives contained the word or stem ""clot""",Adult,1,
word_diagnos,"The open narratives contained the word or stem ""diagnos""",Adult,1,
word_ray,"The open narratives contained the word or stem ""ray""",Adult,1,
word_complet,"The open narratives contained the word or stem ""complet""",Adult,1,
word_depress,"The open narratives contained the word or stem ""depress""",Adult,1,
word_person,"The open narratives contained the word or stem ""person""",Adult,1,
word_hemipares,"The open narratives contained the word or stem ""hemipares""",Adult,1,
word_abdomen,"The open narratives contained the word or stem ""abdomen""",Adult,1,
word_tumor,"The open narratives contained the word or stem ""tumor""",Adult,1,
word_sit,"The open narratives contained the word or stem ""sit""",Adult,1,
word_comment,"The open narratives contained the word or stem ""comment""",Adult,1,
word_fail,"The open narratives contained the word or stem ""fail""",Adult,1,
word_administ,"The open narratives contained the word or stem ""administ""",Adult,1,
word_reduc,"The open narratives contained the word or stem ""reduc""",Adult,1,
word_function,"The open narratives contained the word or stem ""function""",Adult,1,
word_hypovolem,"The open narratives contained the word or stem ""hypovolem""",Adult,1,
word_suicid,"The open narratives contained the word or stem ""suicid""",Adult,1,
word_prescrib,"The open narratives contained the word or stem ""prescrib""",Adult,1,
word_intestin,"The open narratives contained the word or stem ""intestin""",Adult,1,
word_womb,"The open narratives contained the word or stem ""womb""",Adult,1,
word_octob,"The open narratives contained the word or stem ""octob""",Adult,1,
word_address,"The open narratives contained the word or stem ""address""",Adult,1,
word_uterus,"The open narratives contained the word or stem ""uterus""",Adult,1,
word_leukemia,"The open narratives contained the word or stem ""leukemia""",Adult,1,
word_whenev,"The open narratives contained the word or stem ""whenev""",Adult,1,
word_cold,"The open narratives contained the word or stem ""cold""",Adult,1,
word_confin,"The open narratives contained the word or stem ""confin""",Adult,1,
word_mental,"The open narratives contained the word or stem ""mental""",Adult,1,
word_mention,"The open narratives contained the word or stem ""mention""",Adult,1,
word_met,"The open narratives contained the word or stem ""met""",Adult,1,
word_set,"The open narratives contained the word or stem ""set""",Adult,1,
word_accid,"The open narratives contained the word or stem ""accid""",Adult,1,
word_test,"The open narratives contained the word or stem ""test""",Adult,1,
word_monday,"The open narratives contained the word or stem ""monday""",Adult,1,
word_conduct,"The open narratives contained the word or stem ""conduct""",Adult,1,
word_amount,"The open narratives contained the word or stem ""amount""",Adult,1,
word_includ,"The open narratives contained the word or stem ""includ""",Adult,1,
word_attack,"The open narratives contained the word or stem ""attack""",Adult,1,
word_leg,"The open narratives contained the word or stem ""leg""",Adult,1,
word_happen,"The open narratives contained the word or stem ""happen""",Adult,1,
word_mouth,"The open narratives contained the word or stem ""mouth""",Adult,1,
word_ten,"The open narratives contained the word or stem ""ten""",Adult,1,
word_puffi,"The open narratives contained the word or stem ""puffi""",Adult,1,
word_unabl,"The open narratives contained the word or stem ""unabl""",Adult,1,
word_appoint,"The open narratives contained the word or stem ""appoint""",Adult,1,
word_regain,"The open narratives contained the word or stem ""regain""",Adult,1,
word_vagina,"The open narratives contained the word or stem ""vagina""",Adult,1,
word_left,"The open narratives contained the word or stem ""left""",Adult,1,
word_bronchiti,"The open narratives contained the word or stem ""bronchiti""",Adult,1,
word_discharg,"The open narratives contained the word or stem ""discharg""",Adult,1,
word_neck,"The open narratives contained the word or stem ""neck""",Adult,1,
word_swell,"The open narratives contained the word or stem ""swell""",Adult,1,
word_wherein,"The open narratives contained the word or stem ""wherein""",Adult,1,
word_appetit,"The open narratives contained the word or stem ""appetit""",Adult,1,
word_gotten,"The open narratives contained the word or stem ""gotten""",Adult,1,
word_nose,"The open narratives contained the word or stem ""nose""",Adult,1,
word_conscious,"The open narratives contained the word or stem ""conscious""",Adult,1,
word_hosp,"The open narratives contained the word or stem ""hosp""",Adult,1,
word_intracerebr,"The open narratives contained the word or stem ""intracerebr""",Adult,1,
word_chang,"The open narratives contained the word or stem ""chang""",Adult,1,
word_stay,"The open narratives contained the word or stem ""stay""",Adult,1,
word_slept,"The open narratives contained the word or stem ""slept""",Adult,1,
word_institut,"The open narratives contained the word or stem ""institut""",Adult,1,
word_develop,"The open narratives contained the word or stem ""develop""",Adult,1,
word_soon,"The open narratives contained the word or stem ""soon""",Adult,1,
word_deterior,"The open narratives contained the word or stem ""deterior""",Adult,1,
word_hous,"The open narratives contained the word or stem ""hous""",Adult,1,
word_aliv,"The open narratives contained the word or stem ""aliv""",Adult,1,
word_hemorrhag,"The open narratives contained the word or stem ""hemorrhag""",Adult,1,
word_minut,"The open narratives contained the word or stem ""minut""",Adult,1,
word_ulcer,"The open narratives contained the word or stem ""ulcer""",Adult,1,
word_glucos,"The open narratives contained the word or stem ""glucos""",Adult,1,
word_spread,"The open narratives contained the word or stem ""spread""",Adult,1,
word_influenza,"The open narratives contained the word or stem ""influenza""",Adult,1,
word_immedi,"The open narratives contained the word or stem ""immedi""",Adult,1,
word_confirm,"The open narratives contained the word or stem ""confirm""",Adult,1,
word_pus,"The open narratives contained the word or stem ""pus""",Adult,1,
word_hyderabad,"The open narratives contained the word or stem ""hyderabad""",Adult,1,
word_lymphoma,"The open narratives contained the word or stem ""lymphoma""",Adult,1,
word_husband,"The open narratives contained the word or stem ""husband""",Adult,1,
word_hurt,"The open narratives contained the word or stem ""hurt""",Adult,1,
word_hour,"The open narratives contained the word or stem ""hour""",Adult,1,
word_negat,"The open narratives contained the word or stem ""negat""",Adult,1,
word_hospit,"The open narratives contained the word or stem ""hospit""",Adult,1,
word_center,"The open narratives contained the word or stem ""center""",Adult,1,
word_cebu,"The open narratives contained the word or stem ""cebu""",Adult,1,
word_homicid,"The open narratives contained the word or stem ""homicid""",Adult,1,
word_improv,"The open narratives contained the word or stem ""improv""",Adult,1,
word_fire,"The open narratives contained the word or stem ""fire""",Adult,1,
word_inhal,"The open narratives contained the word or stem ""inhal""",Adult,1,
word_dri,"The open narratives contained the word or stem ""dri""",Adult,1,
word_hospitali,"The open narratives contained the word or stem ""hospitali""",Adult,1,
word_system,"The open narratives contained the word or stem ""system""",Adult,1,
word_malfunct,"The open narratives contained the word or stem ""malfunct""",Adult,1,
word_surviv,"The open narratives contained the word or stem ""surviv""",Adult,1,
word_cancer,"The open narratives contained the word or stem ""cancer""",Adult,1,
word_suffer,"The open narratives contained the word or stem ""suffer""",Adult,1,
word_healthi,"The open narratives contained the word or stem ""healthi""",Adult,1,
word_health,"The open narratives contained the word or stem ""health""",Adult,1,
word_afternoon,"The open narratives contained the word or stem ""afternoon""",Adult,1,
word_tetanus,"The open narratives contained the word or stem ""tetanus""",Adult,1,
word_time,"The open narratives contained the word or stem ""time""",Adult,1,
word_upper,"The open narratives contained the word or stem ""upper""",Adult,1,
word_inflam,"The open narratives contained the word or stem ""inflam""",Adult,1,
word_proper,"The open narratives contained the word or stem ""proper""",Adult,1,
word_hand,"The open narratives contained the word or stem ""hand""",Adult,1,
word_tire,"The open narratives contained the word or stem ""tire""",Adult,1,
word_moment,"The open narratives contained the word or stem ""moment""",Adult,1,
word_ground,"The open narratives contained the word or stem ""ground""",Adult,1,
word_ruptur,"The open narratives contained the word or stem ""ruptur""",Adult,1,
word_saturday,"The open narratives contained the word or stem ""saturday""",Adult,1,
word_live,"The open narratives contained the word or stem ""live""",Adult,1,
word_mass,"The open narratives contained the word or stem ""mass""",Adult,1,
word_ischemia,"The open narratives contained the word or stem ""ischemia""",Adult,1,
word_girl,"The open narratives contained the word or stem ""girl""",Adult,1,
word_bigger,"The open narratives contained the word or stem ""bigger""",Adult,1,
word_certif,"The open narratives contained the word or stem ""certif""",Adult,1,
word_hook,"The open narratives contained the word or stem ""hook""",Adult,1,
word_shock,"The open narratives contained the word or stem ""shock""",Adult,1,
word_chest,"The open narratives contained the word or stem ""chest""",Adult,1,
word_friend,"The open narratives contained the word or stem ""friend""",Adult,1,
word_frequent,"The open narratives contained the word or stem ""frequent""",Adult,1,
word_session,"The open narratives contained the word or stem ""session""",Adult,1,
word_fever,"The open narratives contained the word or stem ""fever""",Adult,1,
word_eye,"The open narratives contained the word or stem ""eye""",Adult,1,
word_stand,"The open narratives contained the word or stem ""stand""",Adult,1,
word_matern,"The open narratives contained the word or stem ""matern""",Adult,1,
word_communic,"The open narratives contained the word or stem ""communic""",Adult,1,
word_stage,"The open narratives contained the word or stem ""stage""",Adult,1,
word_head,"The open narratives contained the word or stem ""head""",Adult,1,
word_fluid,"The open narratives contained the word or stem ""fluid""",Adult,1,
word_antibiot,"The open narratives contained the word or stem ""antibiot""",Adult,1,
word_forward,"The open narratives contained the word or stem ""forward""",Adult,1,
word_headach,"The open narratives contained the word or stem ""headach""",Adult,1,
word_dizzi,"The open narratives contained the word or stem ""dizzi""",Adult,1,
word_measur,"The open narratives contained the word or stem ""measur""",Adult,1,
word_finger,"The open narratives contained the word or stem ""finger""",Adult,1,
word_fine,"The open narratives contained the word or stem ""fine""",Adult,1,
word_waist,"The open narratives contained the word or stem ""waist""",Adult,1,
word_worst,"The open narratives contained the word or stem ""worst""",Adult,1,
word_six,"The open narratives contained the word or stem ""six""",Adult,1,
word_famili,"The open narratives contained the word or stem ""famili""",Adult,1,
word_attent,"The open narratives contained the word or stem ""attent""",Adult,1,
word_reach,"The open narratives contained the word or stem ""reach""",Adult,1,
word_traffic,"The open narratives contained the word or stem ""traffic""",Adult,1,
word_answer,"The open narratives contained the word or stem ""answer""",Adult,1,
word_feb,"The open narratives contained the word or stem ""feb""",Adult,1,
word_obstruct,"The open narratives contained the word or stem ""obstruct""",Adult,1,
word_lost,"The open narratives contained the word or stem ""lost""",Adult,1,
word_children,"The open narratives contained the word or stem ""children""",Adult,1,
word_arteri,"The open narratives contained the word or stem ""arteri""",Adult,1,
word_wors,"The open narratives contained the word or stem ""wors""",Adult,1,
word_reason,"The open narratives contained the word or stem ""reason""",Adult,1,
word_regular,"The open narratives contained the word or stem ""regular""",Adult,1,
word_amput,"The open narratives contained the word or stem ""amput""",Adult,1,
word_get,"The open narratives contained the word or stem ""get""",Adult,1,
word_outsid,"The open narratives contained the word or stem ""outsid""",Adult,1,
word_oxygen,"The open narratives contained the word or stem ""oxygen""",Adult,1,
word_pale,"The open narratives contained the word or stem ""pale""",Adult,1,
word_cardiomegali,"The open narratives contained the word or stem ""cardiomegali""",Adult,1,
word_stop,"The open narratives contained the word or stem ""stop""",Adult,1,
word_form,"The open narratives contained the word or stem ""form""",Adult,1,
word_cardio,"The open narratives contained the word or stem ""cardio""",Adult,1,
word_alter,"The open narratives contained the word or stem ""alter""",Adult,1,
word_organ,"The open narratives contained the word or stem ""organ""",Adult,1,
word_muhimbili,"The open narratives contained the word or stem ""muhimbili""",Adult,1,
word_nerv,"The open narratives contained the word or stem ""nerv""",Adult,1,
word_pipe,"The open narratives contained the word or stem ""pipe""",Adult,1,
word_wit,"The open narratives contained the word or stem ""wit""",Adult,1,
word_servic,"The open narratives contained the word or stem ""servic""",Adult,1,
word_posit,"The open narratives contained the word or stem ""posit""",Adult,1,
word_pregnanc,"The open narratives contained the word or stem ""pregnanc""",Adult,1,
word_swallow,"The open narratives contained the word or stem ""swallow""",Adult,1,
word_walk,"The open narratives contained the word or stem ""walk""",Adult,1,
word_cost,"The open narratives contained the word or stem ""cost""",Adult,1,
word_suspect,"The open narratives contained the word or stem ""suspect""",Adult,1,
word_buy,"The open narratives contained the word or stem ""buy""",Adult,1,
word_peptic,"The open narratives contained the word or stem ""peptic""",Adult,1,
word_interview,"The open narratives contained the word or stem ""interview""",Adult,1,
word_sad,"The open narratives contained the word or stem ""sad""",Adult,1,
word_epilepsi,"The open narratives contained the word or stem ""epilepsi""",Adult,1,
word_nearbi,"The open narratives contained the word or stem ""nearbi""",Adult,1,
word_foot,"The open narratives contained the word or stem ""foot""",Adult,1,
word_vehicular,"The open narratives contained the word or stem ""vehicular""",Adult,1,
word_hard,"The open narratives contained the word or stem ""hard""",Adult,1,
word_smoke,"The open narratives contained the word or stem ""smoke""",Adult,1,
word_requir,"The open narratives contained the word or stem ""requir""",Adult,1,
word_admiss,"The open narratives contained the word or stem ""admiss""",Adult,1,
word_son,"The open narratives contained the word or stem ""son""",Adult,1,
word_expir,"The open narratives contained the word or stem ""expir""",Adult,1,
word_gandhi,"The open narratives contained the word or stem ""gandhi""",Adult,1,
word_document,"The open narratives contained the word or stem ""document""",Adult,1,
word_cell,"The open narratives contained the word or stem ""cell""",Adult,1,
word_diseas,"The open narratives contained the word or stem ""diseas""",Adult,1,
word_drug,"The open narratives contained the word or stem ""drug""",Adult,1,
word_veteran,"The open narratives contained the word or stem ""veteran""",Adult,1,
word_none,"The open narratives contained the word or stem ""none""",Adult,1,
word_reliev,"The open narratives contained the word or stem ""reliev""",Adult,1,
word_lower,"The open narratives contained the word or stem ""lower""",Adult,1,
word_remov,"The open narratives contained the word or stem ""remov""",Adult,1,
word_type,"The open narratives contained the word or stem ""type""",Adult,1,
word_activ,"The open narratives contained the word or stem ""activ""",Adult,1,
word_refer,"The open narratives contained the word or stem ""refer""",Adult,1,
word_respiratori,"The open narratives contained the word or stem ""respiratori""",Adult,1,
word_respond,"The open narratives contained the word or stem ""respond""",Adult,1,
word_electr,"The open narratives contained the word or stem ""electr""",Adult,1,
word_rise,"The open narratives contained the word or stem ""rise""",Adult,1,
word_hit,"The open narratives contained the word or stem ""hit""",Adult,1,
word_smooth,"The open narratives contained the word or stem ""smooth""",Adult,1,
word_rizal,"The open narratives contained the word or stem ""rizal""",Adult,1,
word_cure,"The open narratives contained the word or stem ""cure""",Adult,1,
word_week,"The open narratives contained the word or stem ""week""",Adult,1,
word_dec,"The open narratives contained the word or stem ""dec""",Adult,1,
word_salin,"The open narratives contained the word or stem ""salin""",Adult,1,
word_emot,"The open narratives contained the word or stem ""emot""",Adult,1,
word_polic,"The open narratives contained the word or stem ""polic""",Adult,1,
word_hypertens,"The open narratives contained the word or stem ""hypertens""",Adult,1,
word_occur,"The open narratives contained the word or stem ""occur""",Adult,1,
word_chill,"The open narratives contained the word or stem ""chill""",Adult,1,
word_neglig,"The open narratives contained the word or stem ""neglig""",Adult,1,
word_centr,"The open narratives contained the word or stem ""centr""",Adult,1,
word_report,"The open narratives contained the word or stem ""report""",Adult,1,
word_nation,"The open narratives contained the word or stem ""nation""",Adult,1,
word_lose,"The open narratives contained the word or stem ""lose""",Adult,1,
word_serious,"The open narratives contained the word or stem ""serious""",Adult,1,
word_blood,"The open narratives contained the word or stem ""blood""",Adult,1,
word_yellow,"The open narratives contained the word or stem ""yellow""",Adult,1,
word_phlegm,"The open narratives contained the word or stem ""phlegm""",Adult,1,
word_march,"The open narratives contained the word or stem ""march""",Adult,1,
word_shift,"The open narratives contained the word or stem ""shift""",Adult,1,
word_instead,"The open narratives contained the word or stem ""instead""",Adult,1,
word_bought,"The open narratives contained the word or stem ""bought""",Adult,1,
word_herbal,"The open narratives contained the word or stem ""herbal""",Adult,1,
word_collaps,"The open narratives contained the word or stem ""collaps""",Adult,1,
word_sick,"The open narratives contained the word or stem ""sick""",Adult,1,
word_dextros,"The open narratives contained the word or stem ""dextros""",Adult,1,
word_note,"The open narratives contained the word or stem ""note""",Adult,1,
word_talk,"The open narratives contained the word or stem ""talk""",Adult,1,
